"idGame","slugTeam","namePlayer","groupStartPosition","idTeam","idPlayer","fgm","fga","pctFG","fg3m","fg3a","pctFG3","pctFT","fg2m","fg2a","pctFG2","cityTeam","isStarter","minExact","ftm","fta","oreb","dreb","treb","ast","stl","blk","tov","pf","pts","plusminus"
21900093,"HOU","Eric Gordon","G",1610612745,201569,5,17,0.294,3,9,0.333333333333333,0.6,2,8,0.25,"Houston",TRUE,32.2,3,5,0,5,5,1,1,0,2,4,16,-1
21900093,"HOU","James Harden","G",1610612745,201935,12,28,0.429,7,16,0.4375,0.722,5,12,0.416666666666667,"Houston",TRUE,37.25,13,18,4,6,10,6,2,1,6,2,44,11
21900093,"HOU","Austin Rivers",NA,1610612745,203085,3,9,0.333,1,4,0.25,0,2,5,0.4,"Houston",TRUE,23.8833333333333,0,0,0,3,3,1,0,0,1,1,7,3
21900093,"HOU","Ben McLemore",NA,1610612745,203463,3,11,0.273,3,10,0.3,0.75,0,1,0,"Houston",TRUE,30.0333333333333,3,4,0,0,0,3,1,0,1,2,12,12
21900093,"HOU","Tyson Chandler",NA,1610612745,2199,0,0,0,0,0,0,0,0,0,0,"Houston",TRUE,7.38333333333333,0,0,0,1,1,1,0,0,0,2,0,12
21900093,"HOU","Thabo Sefolosha",NA,1610612745,200757,1,2,0.5,1,1,1,0,0,1,0,"Houston",TRUE,6.85,0,0,2,2,4,2,0,1,0,1,3,6
21900093,"HOU","Chris Clemons",NA,1610612745,1629598,0,0,0,0,0,0,0,0,0,0,"Houston",TRUE,2.96666666666667,0,0,0,0,0,0,0,0,0,2,0,-5
21900093,"MEM","Jae Crowder","F",1610612763,203109,2,8,0.25,1,4,0.25,0.75,1,4,0.25,"Memphis",TRUE,29.25,3,4,1,4,5,2,3,0,4,4,8,4
21900093,"MEM","Brandon Clarke","F",1610612763,1629634,1,4,0.25,0,1,0,1,1,3,0.333333333333333,"Memphis",TRUE,20.3666666666667,1,1,1,5,6,1,0,4,1,0,3,7
21900093,"MEM","Jonas Valanciunas","C",1610612763,202685,4,11,0.364,0,1,0,1,4,10,0.4,"Memphis",TRUE,23.8166666666667,2,2,1,9,10,3,0,1,1,3,10,-2
21900093,"MEM","Dillon Brooks","G",1610612763,1628415,7,18,0.389,0,7,0,0.75,7,11,0.636363636363636,"Memphis",TRUE,31.7166666666667,3,4,3,6,9,1,2,0,0,5,17,8
21900093,"MEM","Ja Morant","G",1610612763,1629630,10,16,0.625,1,2,0.5,0.5,9,14,0.642857142857143,"Memphis",TRUE,28.4,2,4,2,3,5,6,1,0,3,3,23,12
21900093,"MEM","Tyus Jones",NA,1610612763,1626145,4,9,0.444,0,1,0,1,4,8,0.5,"Memphis",TRUE,25.35,2,2,0,5,5,4,3,0,1,0,10,-16
21900093,"MEM","Solomon Hill",NA,1610612763,203524,1,5,0.2,0,2,0,1,1,3,0.333333333333333,"Memphis",TRUE,14.9,2,2,0,0,0,0,0,0,1,3,4,-20
21900093,"MEM","Kyle Anderson",NA,1610612763,203937,4,9,0.444,0,2,0,1,4,7,0.571428571428571,"Memphis",TRUE,24.8666666666667,2,2,2,3,5,1,1,0,0,0,10,-10
21900093,"MEM","Marko Guduric",NA,1610612763,1629741,2,6,0.333,0,2,0,0,2,4,0.5,"Memphis",TRUE,17.15,0,0,0,1,1,0,1,0,3,1,4,-13
21900093,"MEM","Bruno Caboclo",NA,1610612763,203998,5,8,0.625,1,3,0.333333333333333,0,4,5,0.8,"Memphis",TRUE,24.1833333333333,0,0,3,2,5,1,2,2,0,2,11,-5
21900094,"MIL","Khris Middleton","F",1610612749,203114,9,15,0.6,4,7,0.571428571428571,1,5,8,0.625,"Milwaukee",TRUE,27.05,4,4,0,3,3,4,2,0,2,2,26,18
21900094,"MIL","Giannis Antetokounmpo","F",1610612749,203507,14,19,0.737,0,3,0,0.545,14,16,0.875,"Milwaukee",TRUE,26.7,6,11,4,11,15,6,0,0,3,4,34,28
21900094,"MIL","Brook Lopez","C",1610612749,201572,4,6,0.667,1,3,0.333333333333333,0,3,3,1,"Milwaukee",TRUE,25.6666666666667,0,0,1,1,2,2,1,3,0,3,9,18
21900094,"MIL","Wesley Matthews","G",1610612749,202083,3,6,0.5,2,4,0.5,0,1,2,0.5,"Milwaukee",TRUE,21.8333333333333,0,0,1,1,2,0,2,0,1,1,8,29
21900094,"MIL","Eric Bledsoe","G",1610612749,202339,8,14,0.571,1,4,0.25,0.833,7,10,0.7,"Milwaukee",TRUE,23.6166666666667,5,6,1,8,9,6,1,0,3,4,22,13
21900094,"MIL","Ersan Ilyasova",NA,1610612749,101141,2,6,0.333,1,4,0.25,0,1,2,0.5,"Milwaukee",TRUE,15.95,0,0,1,3,4,0,1,1,1,2,5,-1
21900094,"MIL","Pat Connaughton",NA,1610612749,1626192,0,2,0,0,2,0,0,0,0,0,"Milwaukee",TRUE,16.0333333333333,0,0,0,6,6,1,0,0,1,1,0,-5
21900094,"MIL","Robin Lopez",NA,1610612749,201577,0,2,0,0,1,0,0.5,0,1,0,"Milwaukee",TRUE,18.55,1,2,2,1,3,2,0,1,1,2,1,6
21900094,"MIL","Donte DiVincenzo",NA,1610612749,1628978,6,11,0.545,3,4,0.75,0.5,3,7,0.428571428571429,"Milwaukee",TRUE,20.25,2,4,1,6,7,1,1,1,2,0,17,12
21900094,"MIL","George Hill",NA,1610612749,201588,2,4,0.5,1,1,1,1,1,3,0.333333333333333,"Milwaukee",TRUE,16.9333333333333,2,2,0,1,1,1,0,0,1,1,7,7
21900094,"MIL","Kyle Korver",NA,1610612749,2594,1,5,0.2,1,4,0.25,0,0,1,0,"Milwaukee",TRUE,17.15,0,1,0,2,2,0,0,0,1,0,3,13
21900094,"MIL","D.J. Wilson",NA,1610612749,1628391,1,3,0.333,0,2,0,0,1,1,1,"Milwaukee",TRUE,6.63333333333333,0,0,0,2,2,1,0,0,1,0,2,3
21900094,"MIL","Sterling Brown",NA,1610612749,1628425,0,0,0,0,0,0,0,0,0,0,"Milwaukee",TRUE,3.63333333333333,0,0,0,1,1,0,0,0,0,0,0,-1
21900094,"MIN","Treveon Graham","F",1610612750,1626203,1,5,0.2,1,4,0.25,0,0,1,0,"Minnesota",TRUE,22.95,0,0,1,1,2,2,2,0,0,1,3,-27
21900094,"MIN","Robert Covington","F",1610612750,203496,5,9,0.556,3,6,0.5,1,2,3,0.666666666666667,"Minnesota",TRUE,23.0666666666667,2,2,0,4,4,2,1,0,2,3,15,-20
21900094,"MIN","Gorgui Dieng","C",1610612750,203476,3,9,0.333,0,3,0,1,3,6,0.5,"Minnesota",TRUE,17.35,4,4,4,2,6,4,0,1,0,1,10,-29
21900094,"MIN","Andrew Wiggins","G",1610612750,203952,10,21,0.476,4,7,0.571428571428571,0.5,6,14,0.428571428571429,"Minnesota",TRUE,30.6333333333333,1,2,1,2,3,0,0,2,2,3,25,-17
21900094,"MIN","Jeff Teague","G",1610612750,201952,3,7,0.429,0,0,0,1,3,7,0.428571428571429,"Minnesota",TRUE,18.0833333333333,4,4,0,2,2,3,1,1,2,5,10,-25
21900094,"MIN","Shabazz Napier",NA,1610612750,203894,4,12,0.333,2,8,0.25,0,2,4,0.5,"Minnesota",TRUE,24.6,0,0,0,3,3,4,4,0,2,1,10,5
21900094,"MIN","Josh Okogie",NA,1610612750,1629006,1,6,0.167,0,2,0,0.333,1,4,0.25,"Minnesota",TRUE,22.0833333333333,1,3,1,6,7,0,1,0,2,0,3,0
21900094,"MIN","Noah Vonleh",NA,1610612750,203943,1,7,0.143,1,4,0.25,1,0,3,0,"Minnesota",TRUE,16.1333333333333,2,2,1,5,6,1,0,0,0,1,5,3
21900094,"MIN","Jake Layman",NA,1610612750,1627774,2,10,0.2,0,3,0,1,2,7,0.285714285714286,"Minnesota",TRUE,26.45,1,1,2,2,4,0,2,0,1,4,5,-21
21900094,"MIN","Jarrett Culver",NA,1610612750,1629633,3,11,0.273,2,5,0.4,0,1,6,0.166666666666667,"Minnesota",TRUE,24.1333333333333,0,0,1,3,4,1,1,0,2,3,8,-7
21900094,"MIN","Jordan Bell",NA,1610612750,1628395,4,6,0.667,0,1,0,1,4,5,0.8,"Minnesota",TRUE,14.5166666666667,4,4,2,4,6,3,0,0,2,1,12,-2
21900095,"PHI","Furkan Korkmaz","F",1610612755,1627788,6,13,0.462,4,7,0.571428571428571,0.8,2,6,0.333333333333333,"Philadelphia",TRUE,33.6833333333333,4,5,1,4,5,2,0,0,2,1,20,-1
21900095,"PHI","Tobias Harris","F",1610612755,202699,10,20,0.5,1,6,0.166666666666667,0.6,9,14,0.642857142857143,"Philadelphia",TRUE,37.15,3,5,0,10,10,2,2,0,2,6,24,-9
21900095,"PHI","Al Horford","C",1610612755,201143,13,20,0.65,5,8,0.625,0.5,8,12,0.666666666666667,"Philadelphia",TRUE,34.75,1,2,3,2,5,4,2,1,2,4,32,-1
21900095,"PHI","Josh Richardson","G",1610612755,1626196,3,11,0.273,1,4,0.25,0.5,2,7,0.285714285714286,"Philadelphia",TRUE,38.4166666666667,1,2,0,3,3,5,0,0,4,4,8,-1
21900095,"PHI","Ben Simmons","G",1610612755,1627732,2,8,0.25,0,0,0,1,2,8,0.25,"Philadelphia",TRUE,35.6166666666667,2,2,0,5,5,6,7,0,4,3,6,-2
21900095,"PHI","James Ennis III",NA,1610612755,203516,1,4,0.25,0,0,0,0.5,1,4,0.25,"Philadelphia",TRUE,11.65,1,2,1,0,1,0,0,0,1,4,3,-3
21900095,"PHI","Kyle O'Quinn",NA,1610612755,203124,2,3,0.667,1,1,1,0,1,2,0.5,"Philadelphia",TRUE,13.25,0,0,3,2,5,0,0,1,1,2,5,-4
