Round Number,Date,Location,Home Team,Away Team,Result
13,20/1/20 17:00,Spectrum Center,Charlotte Hornets,Orlando Magic,
13,20/1/20 17:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,New York Knicks,
13,20/1/20 17:00,AmericanAirlines Arena,Miami Heat,Sacramento Kings,
13,20/1/20 17:00,Toyota Center,Houston Rockets,Oklahoma City Thunder,
13,20/1/20 17:00,FedExForum,Memphis Grizzlies,New Orleans Pelicans,
13,20/1/20 17:00,Fiserv Forum,Milwaukee Bucks,Chicago Bulls,
13,20/1/20 19:30,TD Garden,Boston Celtics,Los Angeles Lakers,
13,20/1/20 20:00,Target Center,Minnesota Timberwolves,Denver Nuggets,
13,20/1/20 21:00,Talking Stick Resort Arena,Phoenix Suns,San Antonio Spurs,
13,20/1/20 21:00,Vivint Smart Home Arena,Utah Jazz,Indiana Pacers,
13,20/1/20 22:00,Moda Center,Portland Trail Blazers,Golden State Warriors,
13,21/1/20 20:30,American Airlines Center,Dallas Mavericks,LA Clippers,
13,22/1/20 19:00,Little Caesars Arena,Detroit Pistons,Sacramento Kings,
13,22/1/20 19:00,Amway Center,Orlando Magic,Oklahoma City Thunder,
13,22/1/20 19:30,State Farm Arena,Atlanta Hawks,LA Clippers,
13,22/1/20 19:30,TD Garden,Boston Celtics,Memphis Grizzlies,
13,22/1/20 19:30,AmericanAirlines Arena,Miami Heat,Washington Wizards,
13,22/1/20 19:30,Madison Square Garden,New York Knicks,Los Angeles Lakers,
13,22/1/20 19:30,Scotiabank Arena,Toronto Raptors,Philadelphia 76ers,
13,22/1/20 20:00,United Center,Chicago Bulls,Minnesota Timberwolves,
13,22/1/20 20:00,Toyota Center,Houston Rockets,Denver Nuggets,
13,22/1/20 20:00,Smoothie King Center,New Orleans Pelicans,San Antonio Spurs,
13,22/1/20 21:00,Talking Stick Resort Arena,Phoenix Suns,Indiana Pacers,
13,22/1/20 22:00,Chase Center,Golden State Warriors,Utah Jazz,
14,23/1/20 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Washington Wizards,
14,23/1/20 20:00,Barclays Center,Brooklyn Nets,Los Angeles Lakers,
14,23/1/20 22:30,Moda Center,Portland Trail Blazers,Dallas Mavericks,
14,24/1/20 15:00,AccorHotels Arena,Charlotte Hornets,Milwaukee Bucks,
14,24/1/20 19:00,Little Caesars Arena,Detroit Pistons,Memphis Grizzlies,
14,24/1/20 19:00,Amway Center,Orlando Magic,Boston Celtics,
14,24/1/20 19:30,Madison Square Garden,New York Knicks,Toronto Raptors,
14,24/1/20 20:00,AmericanAirlines Arena,Miami Heat,LA Clippers,
14,24/1/20 20:00,United Center,Chicago Bulls,Sacramento Kings,
14,24/1/20 20:00,Target Center,Minnesota Timberwolves,Houston Rockets,
14,24/1/20 20:00,Smoothie King Center,New Orleans Pelicans,Denver Nuggets,
14,24/1/20 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Atlanta Hawks,
