Round Number,Date,Location,Home Team,Away Team,Result
23,2/4/20 22:30,Moda Center,Portland Trail Blazers,Utah Jazz,
23,3/4/20 19:00,Little Caesars Arena,Detroit Pistons,Miami Heat,
23,3/4/20 19:00,Bankers Life Fieldhouse,Indiana Pacers,Brooklyn Nets,
23,3/4/20 19:00,Capital One Arena,Washington Wizards,Philadelphia 76ers,
23,3/4/20 19:30,State Farm Arena,Atlanta Hawks,Charlotte Hornets,
23,3/4/20 19:30,TD Garden,Boston Celtics,Orlando Magic,
23,3/4/20 19:30,Madison Square Garden,New York Knicks,Minnesota Timberwolves,
23,3/4/20 19:30,Scotiabank Arena,Toronto Raptors,Milwaukee Bucks,
23,3/4/20 20:00,FedExForum,Memphis Grizzlies,Dallas Mavericks,
23,3/4/20 20:30,AT&T Center,San Antonio Spurs,Golden State Warriors,
23,3/4/20 21:00,Pepsi Center,Denver Nuggets,Chicago Bulls,
23,3/4/20 22:00,Talking Stick Resort Arena,Phoenix Suns,Cleveland Cavaliers,
23,4/4/20 15:30,Staples Center,LA Clippers,Oklahoma City Thunder,
23,4/4/20 22:00,Golden 1 Center,Sacramento Kings,Los Angeles Lakers,
23,5/4/20 13:00,Spectrum Center,Charlotte Hornets,Atlanta Hawks,
23,5/4/20 13:00,Wells Fargo Center,Philadelphia 76ers,Orlando Magic,
23,5/4/20 15:30,TD Garden,Boston Celtics,Milwaukee Bucks,
23,5/4/20 17:00,Bankers Life Fieldhouse,Indiana Pacers,Washington Wizards,
23,5/4/20 17:00,Madison Square Garden,New York Knicks,Miami Heat,
23,5/4/20 18:00,Barclays Center,Brooklyn Nets,Dallas Mavericks,
23,5/4/20 18:00,Pepsi Center,Denver Nuggets,Utah Jazz,
23,5/4/20 18:00,Talking Stick Resort Arena,Phoenix Suns,Chicago Bulls,
23,5/4/20 19:00,Toyota Center,Houston Rockets,Toronto Raptors,
23,5/4/20 19:00,Target Center,Minnesota Timberwolves,Detroit Pistons,
23,5/4/20 19:00,AT&T Center,San Antonio Spurs,New Orleans Pelicans,
23,5/4/20 21:00,Moda Center,Portland Trail Blazers,Memphis Grizzlies,
23,5/4/20 21:00,Golden 1 Center,Sacramento Kings,Cleveland Cavaliers,
23,5/4/20 21:30,Staples Center,Los Angeles Lakers,Oklahoma City Thunder,
23,7/4/20 19:00,Capital One Arena,Washington Wizards,Toronto Raptors,
23,7/4/20 19:30,State Farm Arena,Atlanta Hawks,Detroit Pistons,
23,7/4/20 19:30,AmericanAirlines Arena,Miami Heat,Indiana Pacers,
23,7/4/20 19:30,Wells Fargo Center,Philadelphia 76ers,Milwaukee Bucks,
23,7/4/20 20:00,Target Center,Minnesota Timberwolves,Phoenix Suns,
23,7/4/20 20:00,Smoothie King Center,New Orleans Pelicans,Charlotte Hornets,
23,7/4/20 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Brooklyn Nets,
23,7/4/20 20:30,American Airlines Center,Dallas Mavericks,Houston Rockets,
23,7/4/20 20:30,AT&T Center,San Antonio Spurs,Sacramento Kings,
23,7/4/20 21:00,Pepsi Center,Denver Nuggets,Memphis Grizzlies,
23,7/4/20 22:00,Vivint Smart Home Arena,Utah Jazz,LA Clippers,
23,7/4/20 22:00,Moda Center,Portland Trail Blazers,Cleveland Cavaliers,
23,7/4/20 22:30,Staples Center,Los Angeles Lakers,Chicago Bulls,
23,8/4/20 19:00,TD Garden,Boston Celtics,Indiana Pacers,
23,8/4/20 19:00,Spectrum Center,Charlotte Hornets,Toronto Raptors,
23,8/4/20 19:30,Madison Square Garden,New York Knicks,Orlando Magic,
23,8/4/20 21:30,Toyota Center,Houston Rockets,San Antonio Spurs,
23,8/4/20 22:30,Chase Center,Golden State Warriors,Cleveland Cavaliers,
23,8/4/20 22:30,Staples Center,LA Clippers,Chicago Bulls,
23,9/4/20 19:30,AmericanAirlines Arena,Miami Heat,Detroit Pistons,
24,9/4/20 20:00,Fiserv Forum,Milwaukee Bucks,Brooklyn Nets,
24,9/4/20 20:00,Target Center,Minnesota Timberwolves,Sacramento Kings,
24,9/4/20 20:00,Smoothie King Center,New Orleans Pelicans,Phoenix Suns,
24,9/4/20 22:00,Moda Center,Portland Trail Blazers,Denver Nuggets,
24,9/4/20 22:30,Staples Center,Los Angeles Lakers,Golden State Warriors,
24,10/4/20 19:00,Amway Center,Orlando Magic,Boston Celtics,
24,10/4/20 19:30,Scotiabank Arena,Toronto Raptors,Atlanta Hawks,
24,10/4/20 20:00,Toyota Center,Houston Rockets,Washington Wizards,
24,10/4/20 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,New York Knicks,
24,10/4/20 20:30,AT&T Center,San Antonio Spurs,Philadelphia 76ers,
24,11/4/20 15:00,American Airlines Center,Dallas Mavericks,Detroit Pistons,
24,11/4/20 19:00,Spectrum Center,Charlotte Hornets,Washington Wizards,
24,11/4/20 19:00,Bankers Life Fieldhouse,Indiana Pacers,Orlando Magic,
24,11/4/20 19:00,Smoothie King Center,New Orleans Pelicans,Philadelphia 76ers,
24,11/4/20 19:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Milwaukee Bucks,
24,11/4/20 20:00,AmericanAirlines Arena,Miami Heat,Boston Celtics,
24,11/4/20 20:00,United Center,Chicago Bulls,Brooklyn Nets,
24,11/4/20 20:00,FedExForum,Memphis Grizzlies,Oklahoma City Thunder,
24,11/4/20 20:30,Staples Center,LA Clippers,Golden State Warriors,
24,11/4/20 21:00,Pepsi Center,Denver Nuggets,Sacramento Kings,
24,11/4/20 22:00,Talking Stick Resort Arena,Phoenix Suns,Utah Jazz,
24,12/4/20 15:30,AT&T Center,San Antonio Spurs,Houston Rockets,
24,12/4/20 18:00,Scotiabank Arena,Toronto Raptors,New York Knicks,
24,12/4/20 19:00,Fiserv Forum,Milwaukee Bucks,Atlanta Hawks,
24,12/4/20 21:30,Staples Center,Los Angeles Lakers,Minnesota Timberwolves,
24,13/4/20 19:00,Spectrum Center,Charlotte Hornets,Miami Heat,
24,13/4/20 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Brooklyn Nets,
24,13/4/20 19:00,Little Caesars Arena,Detroit Pistons,Boston Celtics,
24,13/4/20 19:00,Bankers Life Fieldhouse,Indiana Pacers,San Antonio Spurs,
24,13/4/20 20:00,United Center,Chicago Bulls,Orlando Magic,
24,13/4/20 20:00,Toyota Center,Houston Rockets,Phoenix Suns,
24,13/4/20 20:00,FedExForum,Memphis Grizzlies,Philadelphia 76ers,
24,13/4/20 20:00,Smoothie King Center,New Orleans Pelicans,Washington Wizards,
24,13/4/20 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Utah Jazz,
24,13/4/20 21:00,Pepsi Center,Denver Nuggets,Dallas Mavericks,
24,13/4/20 22:30,Chase Center,Golden State Warriors,Portland Trail Blazers,
24,13/4/20 22:30,Staples Center,LA Clippers,Minnesota Timberwolves,
24,14/4/20 19:30,AmericanAirlines Arena,Miami Heat,Toronto Raptors,
24,14/4/20 19:30,Madison Square Garden,New York Knicks,Detroit Pistons,
24,14/4/20 22:00,Vivint Smart Home Arena,Utah Jazz,Denver Nuggets,
24,14/4/20 22:30,Staples Center,Los Angeles Lakers,Sacramento Kings,
24,15/4/20 19:30,State Farm Arena,Atlanta Hawks,Cleveland Cavaliers,
24,15/4/20 19:30,TD Garden,Boston Celtics,Chicago Bulls,
24,15/4/20 19:30,Barclays Center,Brooklyn Nets,Milwaukee Bucks,
24,15/4/20 19:30,Amway Center,Orlando Magic,Toronto Raptors,
24,15/4/20 19:30,Wells Fargo Center,Philadelphia 76ers,Charlotte Hornets,
24,15/4/20 19:30,Capital One Arena,Washington Wizards,Indiana Pacers,
24,15/4/20 19:30,American Airlines Center,Dallas Mavericks,Oklahoma City Thunder,
24,15/4/20 19:30,Toyota Center,Houston Rockets,Memphis Grizzlies,
24,15/4/20 19:30,Target Center,Minnesota Timberwolves,New York Knicks,
24,15/4/20 19:30,AT&T Center,San Antonio Spurs,New Orleans Pelicans,
24,15/4/20 22:00,Talking Stick Resort Arena,Phoenix Suns,Los Angeles Lakers,
24,15/4/20 22:00,Moda Center,Portland Trail Blazers,LA Clippers,
24,15/4/20 22:00,Golden 1 Center,Sacramento Kings,Golden State Warriors,
