"Round.Number","Date","Location","Home.Team","Away.Team","Result"
1,2019-10-22,"Scotiabank Arena","Toronto Raptors","New Orleans Pelicans","130 - 122"
1,2019-10-22,"Staples Center","LA Clippers","Los Angeles Lakers","112 - 102"
1,2019-10-23,"Spectrum Center","Charlotte Hornets","Chicago Bulls","126 - 125"
1,2019-10-23,"Bankers Life Fieldhouse","Indiana Pacers","Detroit Pistons","110 - 119"
1,2019-10-23,"Amway Center","Orlando Magic","Cleveland Cavaliers","94 - 85"
1,2019-10-23,"Barclays Center","Brooklyn Nets","Minnesota Timberwolves","126 - 127"
1,2019-10-23,"AmericanAirlines Arena","Miami Heat","Memphis Grizzlies","120 - 101"
1,2019-10-23,"Wells Fargo Center","Philadelphia 76ers","Boston Celtics","107 - 93"
1,2019-10-23,"American Airlines Center","Dallas Mavericks","Washington Wizards","108 - 100"
1,2019-10-23,"AT&T Center","San Antonio Spurs","New York Knicks","120 - 111"
1,2019-10-23,"Vivint Smart Home Arena","Utah Jazz","Oklahoma City Thunder","100 - 95"
1,2019-10-23,"Talking Stick Resort Arena","Phoenix Suns","Sacramento Kings","124 - 95"
1,2019-10-23,"Moda Center","Portland Trail Blazers","Denver Nuggets","100 - 108"
1,2019-10-24,"Little Caesars Arena","Detroit Pistons","Atlanta Hawks","100 - 117"
1,2019-10-24,"Toyota Center","Houston Rockets","Milwaukee Bucks","111 - 117"
1,2019-10-24,"Chase Center","Golden State Warriors","LA Clippers","122 - 141"
1,2019-10-25,"TD Garden","Boston Celtics","Toronto Raptors","112 - 106"
1,2019-10-25,"Spectrum Center","Charlotte Hornets","Minnesota Timberwolves","99 - 121"
1,2019-10-25,"Barclays Center","Brooklyn Nets","New York Knicks","113 - 109"
1,2019-10-25,"FedExForum","Memphis Grizzlies","Chicago Bulls","102 - 110"
1,2019-10-25,"Smoothie King Center","New Orleans Pelicans","Dallas Mavericks","116 - 123"
1,2019-10-25,"Chesapeake Energy Arena","Oklahoma City Thunder","Washington Wizards","85 - 97"
1,2019-10-25,"Pepsi Center","Denver Nuggets","Phoenix Suns","108 - 107"
1,2019-10-25,"Golden 1 Center","Sacramento Kings","Portland Trail Blazers","81 - 113"
1,2019-10-25,"Staples Center","Los Angeles Lakers","Utah Jazz","95 - 86"
1,2019-10-26,"Fiserv Forum","Milwaukee Bucks","Miami Heat","126 - 131"
1,2019-10-26,"Little Caesars Arena","Detroit Pistons","Philadelphia 76ers","111 - 117"
1,2019-10-26,"State Farm Arena","Atlanta Hawks","Orlando Magic","103 - 99"
1,2019-10-26,"Madison Square Garden","New York Knicks","Boston Celtics","95 - 118"
1,2019-10-26,"Rocket Mortgage FieldHouse","Cleveland Cavaliers","Indiana Pacers","110 - 99"
1,2019-10-26,"United Center","Chicago Bulls","Toronto Raptors","84 - 108"
1,2019-10-26,"Toyota Center","Houston Rockets","New Orleans Pelicans","126 - 123"
1,2019-10-26,"AT&T Center","San Antonio Spurs","Washington Wizards","124 - 122"
1,2019-10-26,"Vivint Smart Home Arena","Utah Jazz","Sacramento Kings","113 - 81"
1,2019-10-26,"Talking Stick Resort Arena","Phoenix Suns","LA Clippers","130 - 122"
1,2019-10-27,"Chesapeake Energy Arena","Oklahoma City Thunder","Golden State Warriors","120 - 92"
1,2019-10-27,"FedExForum","Memphis Grizzlies","Brooklyn Nets","134 - 133"
1,2019-10-27,"American Airlines Center","Dallas Mavericks","Portland Trail Blazers","119 - 121"
1,2019-10-27,"Target Center","Minnesota Timberwolves","Miami Heat","116 - 109"
1,2019-10-27,"Staples Center","Los Angeles Lakers","Charlotte Hornets","120 - 101"
1,2019-10-28,"Little Caesars Arena","Detroit Pistons","Indiana Pacers","96 - 94"
1,2019-10-28,"Madison Square Garden","New York Knicks","Chicago Bulls","105 - 98"
1,2019-10-28,"State Farm Arena","Atlanta Hawks","Philadelphia 76ers","103 - 105"
1,2019-10-28,"Scotiabank Arena","Toronto Raptors","Orlando Magic","104 - 95"
1,2019-10-28,"Toyota Center","Houston Rockets","Oklahoma City Thunder","116 - 112"
1,2019-10-28,"Fiserv Forum","Milwaukee Bucks","Cleveland Cavaliers","129 - 112"
1,2019-10-28,"Smoothie King Center","New Orleans Pelicans","Golden State Warriors","123 - 134"
1,2019-10-28,"AT&T Center","San Antonio Spurs","Portland Trail Blazers","113 - 110"
1,2019-10-28,"Talking Stick Resort Arena","Phoenix Suns","Utah Jazz","95 - 96"
1,2019-10-28,"Golden 1 Center","Sacramento Kings","Denver Nuggets","94 - 101"
1,2019-10-28,"Staples Center","LA Clippers","Charlotte Hornets","111 - 96"
1,2019-10-29,"AmericanAirlines Arena","Miami Heat","Atlanta Hawks","112 - 97"
1,2019-10-29,"Pepsi Center","Denver Nuggets","Dallas Mavericks","106 - 109"
1,2019-10-29,"Staples Center","Los Angeles Lakers","Memphis Grizzlies","120 - 91"
1,2019-10-30,"Rocket Mortgage FieldHouse","Cleveland Cavaliers","Chicago Bulls","117 - 111"
1,2019-10-30,"Amway Center","Orlando Magic","New York Knicks","95 - 83"
1,2019-10-30,"Wells Fargo Center","Philadelphia 76ers","Minnesota Timberwolves","117 - 95"
1,2019-10-30,"TD Garden","Boston Celtics","Milwaukee Bucks","116 - 105"
1,2019-10-30,"Barclays Center","Brooklyn Nets","Indiana Pacers","108 - 118"
1,2019-10-30,"Scotiabank Arena","Toronto Raptors","Detroit Pistons","125 - 113"
1,2019-10-30,"Capital One Arena","Washington Wizards","Houston Rockets","158 - 159"
1,2019-10-30,"Chesapeake Energy Arena","Oklahoma City Thunder","Portland Trail Blazers","99 - 102"
1,2019-10-30,"Vivint Smart Home Arena","Utah Jazz","LA Clippers","110 - 96"
1,2019-10-30,"Golden 1 Center","Sacramento Kings","Charlotte Hornets","111 - 118"
1,2019-10-30,"Chase Center","Golden State Warriors","Phoenix Suns","110 - 121"
1,2019-10-31,"State Farm Arena","Atlanta Hawks","Miami Heat","97 - 106"
2,2019-10-31,"Smoothie King Center","New Orleans Pelicans","Denver Nuggets","122 - 107"
2,2019-10-31,"Staples Center","LA Clippers","San Antonio Spurs","103 - 97"
2,2019-11-01,"Barclays Center","Brooklyn Nets","Houston Rockets","123 - 116"
2,2019-11-01,"Bankers Life Fieldhouse","Indiana Pacers","Cleveland Cavaliers","102 - 95"
2,2019-11-01,"Amway Center","Orlando Magic","Milwaukee Bucks","91 - 123"
2,2019-11-01,"TD Garden","Boston Celtics","New York Knicks","104 - 102"
2,2019-11-01,"United Center","Chicago Bulls","Detroit Pistons","112 - 106"
2,2019-11-01,"American Airlines Center","Dallas Mavericks","Los Angeles Lakers","110 - 119"
2,2019-11-01,"Golden 1 Center","Sacramento Kings","Utah Jazz","102 - 101"
2,2019-11-01,"Chase Center","Golden State Warriors","San Antonio Spurs","110 - 127"
2,2019-11-02,"Chesapeake Energy Arena","Oklahoma City Thunder","New Orleans Pelicans","115 - 104"
2,2019-11-02,"Little Caesars Arena","Detroit Pistons","Brooklyn Nets","113 - 109"
2,2019-11-02,"Amway Center","Orlando Magic","Denver Nuggets","87 - 91"
2,2019-11-02,"Capital One Arena","Washington Wizards","Minnesota Timberwolves","109 - 131"
2,2019-11-02,"FedExForum","Memphis Grizzlies","Phoenix Suns","105 - 114"
2,2019-11-02,"Fiserv Forum","Milwaukee Bucks","Toronto Raptors","115 - 105"
2,2019-11-02,"Chase Center","Golden State Warriors","Charlotte Hornets","87 - 93"
2,2019-11-02,"Moda Center","Portland Trail Blazers","Philadelphia 76ers","128 - 129"
2,2019-11-03,"Bankers Life Fieldhouse","Indiana Pacers","Chicago Bulls","108 - 95"
2,2019-11-03,"AmericanAirlines Arena","Miami Heat","Houston Rockets","129 - 100"
2,2019-11-03,"Madison Square Garden","New York Knicks","Sacramento Kings","92 - 113"
2,2019-11-03,"AT&T Center","San Antonio Spurs","Los Angeles Lakers","96 - 103"
2,2019-11-03,"Rocket Mortgage FieldHouse","Cleveland Cavaliers","Dallas Mavericks","111 - 131"
2,2019-11-03,"Staples Center","LA Clippers","Utah Jazz","105 - 94"
2,2019-11-04,"Capital One Arena","Washington Wizards","Detroit Pistons",""
2,2019-11-04,"Barclays Center","Brooklyn Nets","New Orleans Pelicans",""
2,2019-11-04,"FedExForum","Memphis Grizzlies","Houston Rockets",""
2,2019-11-04,"Target Center","Minnesota Timberwolves","Milwaukee Bucks",""
2,2019-11-04,"Talking Stick Resort Arena","Phoenix Suns","Philadelphia 76ers",""
2,2019-11-04,"Chase Center","Golden State Warriors","Portland Trail Blazers",""
2,2019-11-05,"Spectrum Center","Charlotte Hornets","Indiana Pacers",""
2,2019-11-05,"Rocket Mortgage FieldHouse","Cleveland Cavaliers","Boston Celtics",""
2,2019-11-05,"State Farm Arena","Atlanta Hawks","San Antonio Spurs",""
2,2019-11-05,"United Center","Chicago Bulls","Los Angeles Lakers",""
2,2019-11-05,"Chesapeake Energy Arena","Oklahoma City Thunder","Orlando Magic",""
2,2019-11-05,"Pepsi Center","Denver Nuggets","Miami Heat",""
2,2019-11-06,"Little Caesars Arena","Detroit Pistons","New York Knicks",""
2,2019-11-06,"Bankers Life Fieldhouse","Indiana Pacers","Washington Wizards",""
2,2019-11-06,"State Farm Arena","Atlanta Hawks","Chicago Bulls",""
2,2019-11-06,"Scotiabank Arena","Toronto Raptors","Sacramento Kings",""
2,2019-11-06,"Toyota Center","Houston Rockets","Golden State Warriors",""
2,2019-11-06,"FedExForum","Memphis Grizzlies","Minnesota Timberwolves",""
2,2019-11-06,"American Airlines Center","Dallas Mavericks","Orlando Magic",""
2,2019-11-06,"Vivint Smart Home Arena","Utah Jazz","Philadelphia 76ers",""
2,2019-11-06,"Staples Center","LA Clippers","Milwaukee Bucks",""
3,2019-11-07,"Spectrum Center","Charlotte Hornets","Boston Celtics",""
3,2019-11-07,"AT&T Center","San Antonio Spurs","Oklahoma City Thunder",""
3,2019-11-07,"Talking Stick Resort Arena","Phoenix Suns","Miami Heat",""
3,2019-11-07,"Staples Center","LA Clippers","Portland Trail Blazers",""
3,2019-11-08,"Bankers Life Fieldhouse","Indiana Pacers","Detroit Pistons",""
3,2019-11-08,"Amway Center","Orlando Magic","Memphis Grizzlies",""
3,2019-11-08,"Capital One Arena","Washington Wizards","Cleveland Cavaliers",""
3,2019-11-08,"State Farm Arena","Atlanta Hawks","Sacramento Kings",""
3,2019-11-08,"Target Center","Minnesota Timberwolves","Golden State Warriors",""
3,2019-11-08,"Smoothie King Center","New Orleans Pelicans","Toronto Raptors",""
3,2019-11-08,"American Airlines Center","Dallas Mavericks","New York Knicks",""
3,2019-11-08,"Pepsi Center","Denver Nuggets","Philadelphia 76ers",""
3,2019-11-08,"Vivint Smart Home Arena","Utah Jazz","Milwaukee Bucks",""
3,2019-11-08,"Moda Center","Portland Trail Blazers","Brooklyn Nets",""
3,2019-11-08,"Staples Center","Los Angeles Lakers","Miami Heat",""
3,2019-11-09,"AT&T Center","San Antonio Spurs","Boston Celtics",""
3,2019-11-09,"Spectrum Center","Charlotte Hornets","New Orleans Pelicans",""
3,2019-11-09,"United Center","Chicago Bulls","Houston Rockets",""
3,2019-11-09,"FedExForum","Memphis Grizzlies","Dallas Mavericks",""
3,2019-11-09,"Chesapeake Energy Arena","Oklahoma City Thunder","Golden State Warriors",""
3,2019-11-10,"Target Center","Minnesota Timberwolves","Denver Nuggets",""
3,2019-11-10,"Amway Center","Orlando Magic","Indiana Pacers",""
3,2019-11-10,"Wells Fargo Center","Philadelphia 76ers","Charlotte Hornets",""
3,2019-11-10,"Chesapeake Energy Arena","Oklahoma City Thunder","Milwaukee Bucks",""
3,2019-11-10,"Madison Square Garden","New York Knicks","Cleveland Cavaliers",""
3,2019-11-10,"Talking Stick Resort Arena","Phoenix Suns","Brooklyn Nets",""
3,2019-11-10,"Moda Center","Portland Trail Blazers","Atlanta Hawks",""
3,2019-11-10,"Staples Center","Los Angeles Lakers","Toronto Raptors",""
3,2019-11-11,"Little Caesars Arena","Detroit Pistons","Minnesota Timberwolves",""
3,2019-11-11,"TD Garden","Boston Celtics","Dallas Mavericks",""
3,2019-11-11,"AT&T Center","San Antonio Spurs","Memphis Grizzlies",""
3,2019-11-11,"Smoothie King Center","New Orleans Pelicans","Houston Rockets",""
3,2019-11-11,"Chase Center","Golden State Warriors","Utah Jazz",""
3,2019-11-11,"Staples Center","LA Clippers","Toronto Raptors",""
3,2019-11-12,"Bankers Life Fieldhouse","Indiana Pacers","Oklahoma City Thunder",""
3,2019-11-12,"Wells Fargo Center","Philadelphia 76ers","Cleveland Cavaliers",""
3,2019-11-12,"AmericanAirlines Arena","Miami Heat","Detroit Pistons",""
3,2019-11-12,"United Center","Chicago Bulls","New York Knicks",""
3,2019-11-12,"Pepsi Center","Denver Nuggets","Atlanta Hawks",""
3,2019-11-12,"Talking Stick Resort Arena","Phoenix Suns","Los Angeles Lakers",""
3,2019-11-12,"Vivint Smart Home Arena","Utah Jazz","Brooklyn Nets",""
3,2019-11-12,"Golden 1 Center","Sacramento Kings","Portland Trail Blazers",""
3,2019-11-13,"Spectrum Center","Charlotte Hornets","Memphis Grizzlies",""
3,2019-11-13,"Amway Center","Orlando Magic","Philadelphia 76ers",""
3,2019-11-13,"TD Garden","Boston Celtics","Washington Wizards",""
3,2019-11-13,"Toyota Center","Houston Rockets","LA Clippers",""
3,2019-11-13,"Target Center","Minnesota Timberwolves","San Antonio Spurs",""
3,2019-11-13,"Staples Center","Los Angeles Lakers","Golden State Warriors",""
3,2019-11-13,"Moda Center","Portland Trail Blazers","Toronto Raptors",""
3,2019-11-14,"Rocket Mortgage FieldHouse","Cleveland Cavaliers","Miami Heat",""
4,2019-11-14,"Madison Square Garden","New York Knicks","Dallas Mavericks",""
4,2019-11-14,"Fiserv Forum","Milwaukee Bucks","Chicago Bulls",""
4,2019-11-14,"Smoothie King Center","New Orleans Pelicans","LA Clippers",""
4,2019-11-14,"Talking Stick Resort Arena","Phoenix Suns","Atlanta Hawks",""
4,2019-11-14,"Pepsi Center","Denver Nuggets","Brooklyn Nets",""
4,2019-11-15,"Spectrum Center","Charlotte Hornets","Detroit Pistons",""
4,2019-11-15,"Amway Center","Orlando Magic","San Antonio Spurs",""
4,2019-11-15,"Toyota Center","Houston Rockets","Indiana Pacers",""
4,2019-11-15,"FedExForum","Memphis Grizzlies","Utah Jazz",""
4,2019-11-15,"Target Center","Minnesota Timberwolves","Washington Wizards",""
4,2019-11-15,"Chesapeake Energy Arena","Oklahoma City Thunder","Philadelphia 76ers",""
4,2019-11-15,"Chase Center","Golden State Warriors","Boston Celtics",""
4,2019-11-15,"Staples Center","Los Angeles Lakers","Sacramento Kings",""
4,2019-11-16,"United Center","Chicago Bulls","Brooklyn Nets",""
4,2019-11-16,"Bankers Life Fieldhouse","Indiana Pacers","Milwaukee Bucks",""
4,2019-11-16,"Madison Square Garden","New York Knicks","Charlotte Hornets",""
4,2019-11-16,"AmericanAirlines Arena","Miami Heat","New Orleans Pelicans",""
4,2019-11-16,"Target Center","Minnesota Timberwolves","Houston Rockets",""
4,2019-11-16,"American Airlines Center","Dallas Mavericks","Toronto Raptors",""
4,2019-11-16,"AT&T Center","San Antonio Spurs","Portland Trail Blazers",""
4,2019-11-16,"Staples Center","LA Clippers","Atlanta Hawks",""
4,2019-11-17,"Rocket Mortgage FieldHouse","Cleveland Cavaliers","Philadelphia 76ers",""
4,2019-11-17,"Golden 1 Center","Sacramento Kings","Boston Celtics",""
4,2019-11-17,"Amway Center","Orlando Magic","Washington Wizards",""
4,2019-11-17,"FedExForum","Memphis Grizzlies","Denver Nuggets",""
4,2019-11-17,"Smoothie King Center","New Orleans Pelicans","Golden State Warriors",""
4,2019-11-17,"Staples Center","Los Angeles Lakers","Atlanta Hawks",""
4,2019-11-18,"Madison Square Garden","New York Knicks","Cleveland Cavaliers",""
4,2019-11-18,"Barclays Center","Brooklyn Nets","Indiana Pacers",""
4,2019-11-18,"Scotiabank Arena","Toronto Raptors","Charlotte Hornets",""
4,2019-11-18,"United Center","Chicago Bulls","Milwaukee Bucks",""
4,2019-11-18,"Toyota Center","Houston Rockets","Portland Trail Blazers",""
4,2019-11-18,"American Airlines Center","Dallas Mavericks","San Antonio Spurs",""
4,2019-11-18,"Talking Stick Resort Arena","Phoenix Suns","Boston Celtics",""
4,2019-11-18,"Vivint Smart Home Arena","Utah Jazz","Minnesota Timberwolves",""
4,2019-11-18,"Staples Center","LA Clippers","Oklahoma City Thunder",""
4,2019-11-19,"FedExForum","Memphis Grizzlies","Golden State Warriors",""
4,2019-11-19,"Smoothie King Center","New Orleans Pelicans","Portland Trail Blazers",""
4,2019-11-19,"Golden 1 Center","Sacramento Kings","Phoenix Suns",""
4,2019-11-19,"Staples Center","Los Angeles Lakers","Oklahoma City Thunder",""
4,2019-11-20,"Wells Fargo Center","Philadelphia 76ers","New York Knicks",""
4,2019-11-20,"Capital One Arena","Washington Wizards","San Antonio Spurs",""
4,2019-11-20,"State Farm Arena","Atlanta Hawks","Milwaukee Bucks",""
4,2019-11-20,"Barclays Center","Brooklyn Nets","Charlotte Hornets",""
4,2019-11-20,"AmericanAirlines Arena","Miami Heat","Cleveland Cavaliers",""
4,2019-11-20,"Scotiabank Arena","Toronto Raptors","Orlando Magic",""
4,2019-11-20,"American Airlines Center","Dallas Mavericks","Golden State Warriors",""
4,2019-11-20,"United Center","Chicago Bulls","Detroit Pistons",""
4,2019-11-20,"Target Center","Minnesota Timberwolves","Utah Jazz",""
4,2019-11-20,"Pepsi Center","Denver Nuggets","Houston Rockets",""
4,2019-11-20,"Staples Center","LA Clippers","Boston Celtics",""
5,2019-11-21,"Fiserv Forum","Milwaukee Bucks","Portland Trail Blazers",""
5,2019-11-21,"Talking Stick Resort Arena","Phoenix Suns","New Orleans Pelicans",""
5,2019-11-22,"Little Caesars Arena","Detroit Pistons","Atlanta Hawks",""
5,2019-11-22,"Capital One Arena","Washington Wizards","Charlotte Hornets",""
5,2019-11-22,"Barclays Center","Brooklyn Nets","Sacramento Kings",""
5,2019-11-22,"Wells Fargo Center","Philadelphia 76ers","San Antonio Spurs",""
5,2019-11-22,"United Center","Chicago Bulls","Miami Heat",""
5,2019-11-22,"Chesapeake Energy Arena","Oklahoma City Thunder","Los Angeles Lakers",""
5,2019-11-22,"American Airlines Center","Dallas Mavericks","Cleveland Cavaliers",""
5,2019-11-22,"Pepsi Center","Denver Nuggets","Boston Celtics",""
5,2019-11-22,"Vivint Smart Home Arena","Utah Jazz","Golden State Warriors",""
5,2019-11-22,"Staples Center","LA Clippers","Houston Rockets",""
5,2019-11-23,"Target Center","Minnesota Timberwolves","Phoenix Suns",""
5,2019-11-23,"Spectrum Center","Charlotte Hornets","Chicago Bulls",""
5,2019-11-23,"Bankers Life Fieldhouse","Indiana Pacers","Orlando Magic",""
5,2019-11-23,"State Farm Arena","Atlanta Hawks","Toronto Raptors",""
5,2019-11-23,"Madison Square Garden","New York Knicks","San Antonio Spurs",""
5,2019-11-23,"Wells Fargo Center","Philadelphia 76ers","Miami Heat",""
5,2019-11-23,"Rocket Mortgage FieldHouse","Cleveland Cavaliers","Portland Trail Blazers",""
5,2019-11-23,"FedExForum","Memphis Grizzlies","Los Angeles Lakers",""
5,2019-11-23,"Fiserv Forum","Milwaukee Bucks","Detroit Pistons",""
5,2019-11-23,"Vivint Smart Home Arena","Utah Jazz","New Orleans Pelicans",""
5,2019-11-24,"Toyota Center","Houston Rockets","Dallas Mavericks",""
5,2019-11-24,"Madison Square Garden","New York Knicks","Brooklyn Nets",""
5,2019-11-24,"Capital One Arena","Washington Wizards","Sacramento Kings",""
5,2019-11-24,"Pepsi Center","Denver Nuggets","Phoenix Suns",""
5,2019-11-24,"Staples Center","LA Clippers","New Orleans Pelicans",""
5,2019-11-25,"Rocket Mortgage FieldHouse","Cleveland Cavaliers","Brooklyn Nets",""
5,2019-11-25,"Little Caesars Arena","Detroit Pistons","Orlando Magic",""
5,2019-11-25,"Bankers Life Fieldhouse","Indiana Pacers","Memphis Grizzlies",""
5,2019-11-25,"State Farm Arena","Atlanta Hawks","Minnesota Timberwolves",""
5,2019-11-25,"TD Garden","Boston Celtics","Sacramento Kings",""
5,2019-11-25,"AmericanAirlines Arena","Miami Heat","Charlotte Hornets",""
5,2019-11-25,"Scotiabank Arena","Toronto Raptors","Philadelphia 76ers",""
5,2019-11-25,"United Center","Chicago Bulls","Portland Trail Blazers",""
5,2019-11-25,"Fiserv Forum","Milwaukee Bucks","Utah Jazz",""
5,2019-11-25,"AT&T Center","San Antonio Spurs","Los Angeles Lakers",""
5,2019-11-25,"Chase Center","Golden State Warriors","Oklahoma City Thunder",""
5,2019-11-26,"American Airlines Center","Dallas Mavericks","LA Clippers",""
5,2019-11-26,"Pepsi Center","Denver Nuggets","Washington Wizards",""
5,2019-11-27,"TD Garden","Boston Celtics","Brooklyn Nets",""
5,2019-11-27,"Spectrum Center","Charlotte Hornets","Detroit Pistons",""
5,2019-11-27,"Rocket Mortgage FieldHouse","Cleveland Cavaliers","Orlando Magic",""
5,2019-11-27,"Bankers Life Fieldhouse","Indiana Pacers","Utah Jazz",""
5,2019-11-27,"Wells Fargo Center","Philadelphia 76ers","Sacramento Kings",""
5,2019-11-27,"Scotiabank Arena","Toronto Raptors","New York Knicks",""
5,2019-11-27,"Toyota Center","Houston Rockets","Miami Heat",""
5,2019-11-27,"FedExForum","Memphis Grizzlies","LA Clippers",""
5,2019-11-27,"Fiserv Forum","Milwaukee Bucks","Atlanta Hawks",""
5,2019-11-27,"AT&T Center","San Antonio Spurs","Minnesota Timberwolves",""
5,2019-11-27,"Talking Stick Resort Arena","Phoenix Suns","Washington Wizards",""
5,2019-11-27,"Smoothie King Center","New Orleans Pelicans","Los Angeles Lakers",""
5,2019-11-27,"Moda Center","Portland Trail Blazers","Oklahoma City Thunder",""
5,2019-11-27,"Chase Center","Golden State Warriors","Chicago Bulls",""
6,2019-11-29,"Barclays Center","Brooklyn Nets","Boston Celtics",""
6,2019-11-29,"Little Caesars Arena","Detroit Pistons","Charlotte Hornets",""
6,2019-11-29,"Amway Center","Orlando Magic","Toronto Raptors",""
6,2019-11-29,"Rocket Mortgage FieldHouse","Cleveland Cavaliers","Milwaukee Bucks",""
6,2019-11-29,"Madison Square Garden","New York Knicks","Philadelphia 76ers",""
6,2019-11-29,"Bankers Life Fieldhouse","Indiana Pacers","Atlanta Hawks",""
6,2019-11-29,"AmericanAirlines Arena","Miami Heat","Golden State Warriors",""
6,2019-11-29,"FedExForum","Memphis Grizzlies","Utah Jazz",""
6,2019-11-29,"Chesapeake Energy Arena","Oklahoma City Thunder","New Orleans Pelicans",""
6,2019-11-29,"AT&T Center","San Antonio Spurs","LA Clippers",""
6,2019-11-29,"Talking Stick Resort Arena","Phoenix Suns","Dallas Mavericks",""
6,2019-11-29,"Moda Center","Portland Trail Blazers","Chicago Bulls",""
6,2019-11-29,"Staples Center","Los Angeles Lakers","Washington Wizards",""
6,2019-11-30,"Golden 1 Center","Sacramento Kings","Denver Nuggets",""
6,2019-11-30,"Wells Fargo Center","Philadelphia 76ers","Indiana Pacers",""
6,2019-11-30,"Toyota Center","Houston Rockets","Atlanta Hawks",""
6,2019-11-30,"Fiserv Forum","Milwaukee Bucks","Charlotte Hornets",""
6,2019-12-01,"Barclays Center","Brooklyn Nets","Miami Heat",""
6,2019-12-01,"Madison Square Garden","New York Knicks","Boston Celtics",""
6,2019-12-01,"Target Center","Minnesota Timberwolves","Memphis Grizzlies",""
6,2019-12-01,"Staples Center","Los Angeles Lakers","Dallas Mavericks",""
6,2019-12-01,"Little Caesars Arena","Detroit Pistons","San Antonio Spurs",""
6,2019-12-01,"Smoothie King Center","New Orleans Pelicans","Oklahoma City Thunder",""
6,2019-12-01,"Amway Center","Orlando Magic","Golden State Warriors",""
6,2019-12-01,"Scotiabank Arena","Toronto Raptors","Utah Jazz",""
6,2019-12-01,"Staples Center","LA Clippers","Washington Wizards",""
6,2019-12-02,"Spectrum Center","Charlotte Hornets","Phoenix Suns",""
6,2019-12-02,"Wells Fargo Center","Philadelphia 76ers","Utah Jazz",""
6,2019-12-02,"State Farm Arena","Atlanta Hawks","Golden State Warriors",""
6,2019-12-02,"FedExForum","Memphis Grizzlies","Indiana Pacers",""
6,2019-12-02,"Fiserv Forum","Milwaukee Bucks","New York Knicks",""
6,2019-12-02,"Golden 1 Center","Sacramento Kings","Chicago Bulls",""
6,2019-12-03,"Rocket Mortgage FieldHouse","Cleveland Cavaliers","Detroit Pistons",""
6,2019-12-03,"Capital One Arena","Washington Wizards","Orlando Magic",""
6,2019-12-03,"Scotiabank Arena","Toronto Raptors","Miami Heat",""
6,2019-12-03,"Smoothie King Center","New Orleans Pelicans","Dallas Mavericks",""
6,2019-12-03,"AT&T Center","San Antonio Spurs","Houston Rockets",""
6,2019-12-03,"Pepsi Center","Denver Nuggets","Los Angeles Lakers",""
6,2019-12-03,"Staples Center","LA Clippers","Portland Trail Blazers",""
6,2019-12-04,"Spectrum Center","Charlotte Hornets","Golden State Warriors",""
6,2019-12-04,"Little Caesars Arena","Detroit Pistons","Milwaukee Bucks",""
6,2019-12-04,"Amway Center","Orlando Magic","Phoenix Suns",""
6,2019-12-04,"State Farm Arena","Atlanta Hawks","Brooklyn Nets",""
6,2019-12-04,"TD Garden","Boston Celtics","Miami Heat",""
6,2019-12-04,"United Center","Chicago Bulls","Memphis Grizzlies",""
6,2019-12-04,"Chesapeake Energy Arena","Oklahoma City Thunder","Indiana Pacers",""
6,2019-12-04,"American Airlines Center","Dallas Mavericks","Minnesota Timberwolves",""
6,2019-12-04,"Vivint Smart Home Arena","Utah Jazz","Los Angeles Lakers",""
6,2019-12-04,"Moda Center","Portland Trail Blazers","Sacramento Kings",""
7,2019-12-05,"Capital One Arena","Washington Wizards","Philadelphia 76ers",""
7,2019-12-05,"Madison Square Garden","New York Knicks","Denver Nuggets",""
7,2019-12-05,"Scotiabank Arena","Toronto Raptors","Houston Rockets",""
7,2019-12-05,"Smoothie King Center","New Orleans Pelicans","Phoenix Suns",""
7,2019-12-06,"Spectrum Center","Charlotte Hornets","Brooklyn Nets",""
7,2019-12-06,"Rocket Mortgage FieldHouse","Cleveland Cavaliers","Orlando Magic",""
7,2019-12-06,"Little Caesars Arena","Detroit Pistons","Indiana Pacers",""
7,2019-12-06,"TD Garden","Boston Celtics","Denver Nuggets",""
7,2019-12-06,"AmericanAirlines Arena","Miami Heat","Washington Wizards",""
7,2019-12-06,"United Center","Chicago Bulls","Golden State Warriors",""
7,2019-12-06,"Chesapeake Energy Arena","Oklahoma City Thunder","Minnesota Timberwolves",""
7,2019-12-06,"Fiserv Forum","Milwaukee Bucks","LA Clippers",""
7,2019-12-06,"AT&T Center","San Antonio Spurs","Sacramento Kings",""
7,2019-12-06,"Moda Center","Portland Trail Blazers","Los Angeles Lakers",""
7,2019-12-07,"American Airlines Center","Dallas Mavericks","New Orleans Pelicans",""
7,2019-12-07,"Madison Square Garden","New York Knicks","Indiana Pacers",""
7,2019-12-07,"Wells Fargo Center","Philadelphia 76ers","Cleveland Cavaliers",""
7,2019-12-07,"Toyota Center","Houston Rockets","Phoenix Suns",""
7,2019-12-07,"Vivint Smart Home Arena","Utah Jazz","Memphis Grizzlies",""
7,2019-12-08,"Barclays Center","Brooklyn Nets","Denver Nuggets",""
7,2019-12-08,"Spectrum Center","Charlotte Hornets","Atlanta Hawks",""
7,2019-12-08,"AmericanAirlines Arena","Miami Heat","Chicago Bulls",""
7,2019-12-08,"Wells Fargo Center","Philadelphia 76ers","Toronto Raptors",""
7,2019-12-08,"Capital One Arena","Washington Wizards","LA Clippers",""
7,2019-12-08,"American Airlines Center","Dallas Mavericks","Sacramento Kings",""
7,2019-12-08,"Moda Center","Portland Trail Blazers","Oklahoma City Thunder",""
